id,transaction_id,customer_id,timestamp,reason,status
cb_000000,txn_0000145,cust_002899,2024-03-29 00:41:18,unauthorized_transaction,LOST
cb_000001,txn_0000147,cust_002899,2024-02-13 00:42:11,product_not_received,PENDING
cb_000002,txn_0000148,cust_002899,2024-02-08 00:43:36,product_not_received,OPEN
cb_000003,txn_0000150,cust_002899,2024-02-04 00:48:49,product_not_received,LOST
cb_000004,txn_0000152,cust_001732,2024-03-03 02:12:20,product_not_received,OPEN
cb_000005,txn_0000153,cust_007037,2024-01-27 06:03:27,product_not_received,LOST
cb_000006,txn_0000301,cust_008063,2024-02-25 00:44:11,unauthorized_transaction,LOST
cb_000007,txn_0000302,cust_004947,2024-01-31 00:51:35,product_not_received,OPEN
cb_000008,txn_0000467,cust_002959,2024-03-28 08:13:30,unauthorized_transaction,LOST
cb_000009,txn_0000519,cust_000363,2024-03-13 14:09:41,unauthorized_transaction,PENDING
cb_000010,txn_0000597,cust_005323,2024-01-20 04:49:30,unauthorized_transaction,OPEN
cb_000011,txn_0000624,cust_002032,2024-04-01 10:49:43,duplicate_charge,LOST
cb_000012,txn_0000661,cust_000813,2024-02-23 14:34:37,unauthorized_transaction,PENDING
cb_000013,txn_0000676,cust_009910,2024-02-15 16:18:07,product_not_received,OPEN
cb_000014,txn_0000709,cust_007146,2024-02-26 20:06:03,unauthorized_transaction,LOST
cb_000015,txn_0000710,cust_009356,2024-02-11 20:08:41,unauthorized_transaction,PENDING
cb_000016,txn_0000711,cust_006312,2024-01-28 20:13:55,duplicate_charge,WON
cb_000017,txn_0000734,cust_002972,2024-03-14 01:52:59,product_not_received,OPEN
cb_000018,txn_0000738,cust_000857,2024-02-11 06:13:43,credit_not_processed,LOST
cb_000019,txn_0000763,cust_008159,2024-01-30 11:22:38,product_not_received,LOST
cb_000020,txn_0000770,cust_003754,2024-03-31 11:44:28,unauthorized_transaction,PENDING
cb_000021,txn_0000812,cust_003204,2024-02-16 16:12:07,unauthorized_transaction,LOST
cb_000022,txn_0000953,cust_005703,2024-03-04 17:07:03,merchandise_defective,WON
cb_000023,txn_0001005,cust_005744,2024-03-29 00:29:02,unauthorized_transaction,OPEN
cb_000024,txn_0001067,cust_007337,2024-04-03 14:27:52,unauthorized_transaction,LOST
cb_000025,txn_0001068,cust_001707,2024-02-28 14:28:31,product_not_received,LOST
cb_000026,txn_0001069,cust_007337,2024-03-17 14:28:53,product_not_received,OPEN
cb_000027,txn_0001103,cust_001634,2024-01-29 17:51:41,duplicate_charge,LOST
cb_000028,txn_0001152,cust_007132,2024-02-14 06:17:37,unauthorized_transaction,LOST
cb_000029,txn_0001162,cust_001634,2024-01-24 08:29:13,product_not_received,PENDING
cb_000030,txn_0001243,cust_004028,2024-03-03 19:24:43,product_not_received,PENDING
cb_000031,txn_0001251,cust_001500,2024-03-10 19:59:36,unauthorized_transaction,LOST
cb_000032,txn_0001262,cust_001984,2024-03-28 20:33:32,product_not_received,OPEN
cb_000033,txn_0001297,cust_009031,2024-03-09 08:29:13,unauthorized_transaction,LOST
cb_000034,txn_0001434,cust_008821,2024-03-11 01:29:13,unauthorized_transaction,PENDING
cb_000035,txn_0001440,cust_001995,2024-02-24 05:29:13,unauthorized_transaction,LOST
cb_000036,txn_0001446,cust_002661,2024-02-16 07:17:13,unauthorized_transaction,OPEN
cb_000037,txn_0001500,cust_008072,2024-03-20 12:29:13,unauthorized_transaction,LOST
cb_000038,txn_0001540,cust_005219,2024-03-09 17:30:52,product_not_received,PENDING
cb_000039,txn_0001573,cust_008680,2024-02-04 21:15:22,unauthorized_transaction,OPEN
cb_000040,txn_0001588,cust_000077,2024-04-01 00:40:02,product_not_received,LOST
cb_000041,txn_0001754,cust_009969,2024-03-16 23:02:24,duplicate_charge,LOST
cb_000042,txn_0001854,cust_001641,2024-02-10 16:19:34,unauthorized_transaction,OPEN
cb_000043,txn_0001921,cust_006545,2024-02-18 07:22:47,unauthorized_transaction,LOST
cb_000044,txn_0001975,cust_004987,2024-03-10 14:36:41,unauthorized_transaction,PENDING
cb_000045,txn_0001997,cust_007655,2024-02-21 18:03:45,product_not_received,LOST
cb_000046,txn_0001998,cust_004416,2024-02-05 18:14:44,product_not_received,LOST
cb_000047,txn_0001999,cust_006254,2024-02-01 18:23:37,product_not_received,LOST
cb_000048,txn_0002032,cust_008327,2024-03-14 21:53:09,unauthorized_transaction,OPEN
cb_000049,txn_0002200,cust_001634,2024-04-12 09:59:46,credit_not_processed,PENDING
cb_000050,txn_0002466,cust_009278,2024-03-28 00:21:04,unauthorized_transaction,LOST
cb_000051,txn_0002482,cust_002032,2024-03-18 09:32:16,duplicate_charge,WON
cb_000052,txn_0002503,cust_006494,2024-04-01 11:55:52,product_not_received,LOST
cb_000053,txn_0002538,cust_008333,2024-04-04 14:47:15,product_not_received,LOST
cb_000054,txn_0002619,cust_009708,2024-02-15 06:47:15,unauthorized_transaction,PENDING
cb_000055,txn_0002620,cust_008928,2024-03-27 07:00:23,product_not_as_described,WON
cb_000056,txn_0002694,cust_009230,2024-03-17 15:22:52,product_not_received,OPEN
cb_000057,txn_0002725,cust_000254,2024-02-17 20:47:15,product_not_received,LOST
cb_000058,txn_0002747,cust_007317,2024-03-06 03:34:17,unauthorized_transaction,OPEN
cb_000059,txn_0002761,cust_002032,2024-02-13 08:14:23,product_not_received,OPEN
cb_000060,txn_0002882,cust_003656,2024-02-25 20:24:43,product_not_received,OPEN
cb_000061,txn_0002904,cust_000176,2024-04-08 22:19:33,product_not_received,LOST
cb_000062,txn_0002913,cust_001634,2024-02-26 23:37:04,product_not_received,LOST
cb_000063,txn_0003024,cust_003594,2024-02-17 19:35:02,subscription_cancelled,WON
cb_000064,txn_0003050,cust_006373,2024-02-07 21:58:28,duplicate_charge,PENDING
cb_000065,txn_0003076,cust_007359,2024-02-23 09:41:57,unauthorized_transaction,OPEN
cb_000066,txn_0003120,cust_000956,2024-04-18 14:42:36,unauthorized_transaction,OPEN
cb_000067,txn_0003135,cust_006800,2024-04-17 16:53:47,product_not_received,LOST
cb_000068,txn_0003198,cust_007482,2024-02-21 06:06:53,unauthorized_transaction,LOST
cb_000069,txn_0003211,cust_009992,2024-04-14 08:09:28,unauthorized_transaction,OPEN
cb_000070,txn_0003312,cust_009579,2024-02-09 16:41:51,unauthorized_transaction,PENDING
cb_000071,txn_0003349,cust_001634,2024-04-19 21:20:11,credit_not_processed,LOST
cb_000072,txn_0003358,cust_003002,2024-03-24 22:52:51,subscription_cancelled,LOST
cb_000073,txn_0003385,cust_008018,2024-02-09 11:13:27,unauthorized_transaction,OPEN
cb_000074,txn_0003457,cust_001634,2024-03-17 18:09:20,product_not_received,WON
cb_000075,txn_0003490,cust_007349,2024-04-02 21:11:46,unauthorized_transaction,PENDING
cb_000076,txn_0003499,cust_007863,2024-04-17 21:41:12,unauthorized_transaction,OPEN
cb_000077,txn_0003659,cust_009520,2024-04-04 04:11:25,unauthorized_transaction,LOST
cb_000078,txn_0003667,cust_008714,2024-03-22 07:39:38,product_not_received,LOST
cb_000079,txn_0003718,cust_006983,2024-02-21 12:21:33,merchandise_defective,OPEN
cb_000080,txn_0003784,cust_007730,2024-02-26 19:22:09,product_not_received,OPEN
cb_000081,txn_0003785,cust_007730,2024-04-15 19:22:22,product_not_received,OPEN
cb_000082,txn_0003835,cust_004313,2024-03-31 03:00:21,product_not_received,LOST
