id,created_at,country,transaction_count,lifetime_value,average_transaction,return_count,return_rate,chargeback_count,chargeback_rate
cust_000000,2024-03-30,KR,1,118.42,118.42,0,0.0,0,0.0
cust_000001,2024-04-13,US,35,3118.75,89.11,1,0.0286,0,0.0
cust_000002,2024-05-22,RU,1,178.38,178.38,0,0.0,0,0.0
cust_000003,2024-04-19,US,0,0.0,0.0,0,0.0,0,0.0
cust_000004,2024-06-01,MX,2,2147.48,1073.74,0,0.0,0,0.0
cust_000005,2024-07-01,UK,19,1315.35,69.23,2,0.1053,0,0.0
cust_000006,2024-04-20,NG,0,0.0,0.0,0,0.0,0,0.0
cust_000007,2024-02-25,IN,2,16510.58,8255.29,0,0.0,0,0.0
cust_000008,2024-04-30,US,1,101.59,101.59,0,0.0,0,0.0
cust_000009,2024-07-10,US,1,102.24,102.24,0,0.0,0,0.0
cust_000010,2024-02-28,AU,1,237.28,237.28,0,0.0,0,0.0
cust_000011,2024-04-29,DE,9,892.69,99.19,0,0.0,0,0.0
cust_000012,2024-06-26,UK,1,236.71,236.71,0,0.0,0,0.0
cust_000013,2024-03-19,US,1,809.52,809.52,0,0.0,1,1.0
cust_000014,2024-04-16,BR,1,386.55,386.55,0,0.0,0,0.0
cust_000015,2024-03-24,IN,1,117.95,117.95,0,0.0,0,0.0
cust_000016,2024-02-27,DE,1,84.17,84.17,0,0.0,0,0.0
cust_000017,2024-02-23,CA,0,0.0,0.0,0,0.0,0,0.0
cust_000018,2024-04-29,UK,1,491.64,491.64,0,0.0,0,0.0
cust_000019,2024-04-24,UK,1,103.89,103.89,0,0.0,0,0.0
cust_000020,2024-04-30,US,2,12883.49,6441.74,0,0.0,1,0.5
cust_000021,2024-02-29,MX,1,73.3,73.3,0,0.0,0,0.0
cust_000022,2024-05-30,UK,1,206.68,206.68,0,0.0,0,0.0
cust_000023,2024-02-11,CA,1,130.98,130.98,0,0.0,0,0.0
cust_000024,2024-05-13,UK,1,227.14,227.14,0,0.0,0,0.0
cust_000025,2024-04-19,UK,1,475.18,475.18,0,0.0,0,0.0
cust_000026,2024-02-05,DE,1,237.12,237.12,0,0.0,0,0.0
cust_000027,2024-05-24,DE,10,1369.49,136.95,0,0.0,0,0.0
cust_000028,2024-04-02,BR,1,338.72,338.72,0,0.0,0,0.0
cust_000029,2024-08-17,US,6,34098.53,5683.09,1,0.1667,2,0.3333
cust_000030,2024-03-23,NG,2,15744.94,7872.47,0,0.0,0,0.0
cust_000031,2024-07-23,MX,1,61.05,61.05,0,0.0,0,0.0
cust_000032,2024-02-29,ZA,1,199.68,199.68,0,0.0,0,0.0
cust_000033,2024-01-26,US,1,28.49,28.49,0,0.0,0,0.0
cust_000034,2024-07-04,CA,1,98.89,98.89,0,0.0,0,0.0
cust_000035,2024-01-17,CN,3,6615.46,2205.15,0,0.0,1,0.3333
cust_000036,2024-02-13,FR,1,406.3,406.3,1,1.0,0,0.0
cust_000037,2024-06-08,US,1,185.15,185.15,0,0.0,0,0.0
cust_000038,2024-03-30,NG,1,114.3,114.3,0,0.0,0,0.0
cust_000039,2024-04-11,BR,1,39.57,39.57,0,0.0,0,0.0
cust_000040,2024-06-24,AU,1,40.76,40.76,0,0.0,0,0.0
cust_000041,2024-06-03,UK,1,81.43,81.43,0,0.0,0,0.0
cust_000042,2024-03-15,IN,1,47.37,47.37,0,0.0,0,0.0
cust_000043,2024-01-20,FR,1,157.81,157.81,0,0.0,0,0.0
cust_000044,2024-02-27,UK,1,86.62,86.62,0,0.0,0,0.0
cust_000045,2024-03-04,AU,1,85.91,85.91,0,0.0,0,0.0
cust_000046,2024-06-15,US,1,40.52,40.52,0,0.0,0,0.0
cust_000047,2024-07-24,US,1,484.59,484.59,0,0.0,0,0.0
cust_000048,2024-02-02,JP,1,34.13,34.13,0,0.0,0,0.0
cust_000049,2024-03-26,US,1,836.63,836.63,0,0.0,0,0.0
cust_000050,2024-07-17,US,1,39.63,39.63,0,0.0,0,0.0
cust_000051,2024-03-17,BR,10,3160.62,316.06,0,0.0,2,0.2
cust_000052,2024-05-25,AU,1,169.5,169.5,1,1.0,0,0.0
cust_000053,2024-05-16,BR,2,12873.76,6436.88,0,0.0,1,0.5
cust_000054,2024-05-12,US,1,98.64,98.64,0,0.0,0,0.0
cust_000055,2024-03-19,IN,1,59.88,59.88,0,0.0,0,0.0
cust_000056,2024-02-15,US,1,192.11,192.11,0,0.0,0,0.0
cust_000057,2024-04-07,US,2,3549.78,1774.89,1,0.5,0,0.0
cust_000058,2024-05-23,US,1,204.64,204.64,0,0.0,0,0.0
cust_000059,2024-01-19,CA,0,0.0,0.0,0,0.0,0,0.0
cust_000060,2024-09-05,IN,1,81.72,81.72,0,0.0,0,0.0
cust_000061,2024-01-09,US,1,19.71,19.71,1,1.0,0,0.0
cust_000062,2024-01-16,JP,1,30.72,30.72,0,0.0,0,0.0
cust_000063,2024-02-12,MX,1,68.05,68.05,0,0.0,0,0.0
cust_000064,2024-03-12,US,1,8109.76,8109.76,0,0.0,0,0.0
cust_000065,2024-04-06,BR,1,73.63,73.63,0,0.0,0,0.0
cust_000066,2024-04-03,IN,1,100.88,100.88,0,0.0,0,0.0
cust_000067,2024-04-12,CA,0,0.0,0.0,0,0.0,0,0.0
cust_000068,2024-03-02,CA,1,18.55,18.55,0,0.0,0,0.0
cust_000069,2024-08-03,FR,2,8225.96,4112.98,0,0.0,0,0.0
cust_000070,2024-03-16,US,2,5549.03,2774.52,1,0.5,1,0.5
cust_000071,2024-04-02,IN,2,24624.43,12312.22,1,0.5,1,0.5
cust_000072,2024-02-07,US,1,111.68,111.68,1,1.0,1,1.0
cust_000073,2024-03-29,US,5,24.02,4.8,0,0.0,2,0.4
cust_000074,2024-07-05,CA,1,49.25,49.25,0,0.0,0,0.0
cust_000075,2024-07-14,US,1,85.73,85.73,0,0.0,0,0.0
cust_000076,2024-06-04,FR,1,114.1,114.1,0,0.0,0,0.0
cust_000077,2024-04-14,DE,3,12836.98,4278.99,1,0.3333,1,0.3333
cust_000078,2024-03-31,US,1,140.2,140.2,0,0.0,0,0.0
cust_000079,2024-06-06,JP,1,46.74,46.74,0,0.0,0,0.0
cust_000080,2024-03-12,US,1,630.81,630.81,0,0.0,0,0.0
cust_000081,2024-05-16,DE,0,0.0,0.0,0,0.0,0,0.0
cust_000082,2024-04-21,US,1,265.76,265.76,0,0.0,0,0.0
cust_000083,2024-04-20,US,1,48.86,48.86,0,0.0,0,0.0
cust_000084,2024-06-25,JP,3,11719.0,3906.33,0,0.0,0,0.0
cust_000085,2024-02-03,RU,1,65.24,65.24,0,0.0,0,0.0
cust_000086,2024-04-28,UK,3,380.32,126.77,0,0.0,0,0.0
cust_000087,2024-08-08,US,3,6435.99,2145.33,1,0.3333,0,0.0
cust_000088,2024-03-24,DE,1,41.41,41.41,0,0.0,0,0.0
cust_000089,2024-04-23,US,1,125.02,125.02,0,0.0,0,0.0
cust_000090,2024-04-09,JP,1,290.3,290.3,0,0.0,0,0.0
cust_000091,2024-03-18,US,1,59.16,59.16,0,0.0,0,0.0
cust_000092,2024-01-26,US,1,152.4,152.4,1,1.0,0,0.0
cust_000093,2024-02-09,US,1,338.81,338.81,0,0.0,0,0.0
cust_000094,2024-05-16,US,2,1849.3,924.65,0,0.0,0,0.0
cust_000095,2024-10-24,JP,1,115.87,115.87,0,0.0,0,0.0
cust_000096,2024-02-15,IN,1,13742.64,13742.64,0,0.0,1,1.0
cust_000097,2024-02-21,US,1,116.6,116.6,0,0.0,0,0.0
cust_000098,2024-05-03,US,1,87.41,87.41,0,0.0,0,0.0
cust_000099,2024-04-26,US,1,43.89,43.89,0,0.0,0,0.0
cust_000100,2024-05-16,IN,1,27.76,27.76,0,0.0,0,0.0
cust_000101,2024-05-01,IN,1,76.3,76.3,0,0.0,0,0.0
cust_000102,2024-03-02,US,1,59.5,59.5,0,0.0,0,0.0
cust_000103,2024-04-14,AU,5,363.02,72.6,1,0.2,0,0.0
cust_000104,2024-05-10,IN,1,12.86,12.86,0,0.0,0,0.0
cust_000105,2024-07-22,ZA,1,491.97,491.97,0,0.0,0,0.0
cust_000106,2024-03-28,CA,1,38.3,38.3,0,0.0,0,0.0
cust_000107,2024-04-02,US,1,169.53,169.53,0,0.0,0,0.0
cust_000108,2024-07-24,US,1,18.26,18.26,0,0.0,0,0.0
cust_000109,2024-02-17,RU,1,76.98,76.98,0,0.0,0,0.0
cust_000110,2024-06-19,US,2,4859.61,2429.81,0,0.0,1,0.5
cust_000111,2024-03-07,US,1,226.22,226.22,0,0.0,0,0.0
cust_000112,2024-05-09,CA,1,125.29,125.29,0,0.0,0,0.0
cust_000113,2024-04-25,CA,1,28.42,28.42,0,0.0,0,0.0
cust_000114,2024-02-16,IN,1,59.23,59.23,0,0.0,0,0.0
cust_000115,2024-03-11,FR,0,0.0,0.0,0,0.0,0,0.0
cust_000116,2024-04-13,US,1,22.63,22.63,0,0.0,0,0.0
cust_000117,2024-02-11,FR,3,57.63,19.21,0,0.0,0,0.0
cust_000118,2024-02-24,NG,1,42.76,42.76,0,0.0,0,0.0
cust_000119,2024-05-06,US,2,9398.39,4699.2,0,0.0,0,0.0
cust_000120,2024-04-05,US,1,304.05,304.05,0,0.0,0,0.0
cust_000121,2024-03-30,ZA,1,69.39,69.39,0,0.0,0,0.0
cust_000122,2024-04-13,US,1,314.25,314.25,0,0.0,0,0.0
cust_000123,2024-03-20,UK,1,242.63,242.63,0,0.0,0,0.0
cust_000124,2024-04-04,US,1,152.1,152.1,0,0.0,0,0.0
cust_000125,2024-03-31,CA,1,52.09,52.09,0,0.0,0,0.0
cust_000126,2024-02-19,FR,19,1236.25,65.07,1,0.0526,0,0.0
cust_000127,2024-07-22,FR,1,56.29,56.29,0,0.0,0,0.0
cust_000128,2024-08-31,UK,1,2320.01,2320.01,0,0.0,0,0.0
cust_000129,2024-01-25,US,2,15577.82,7788.91,0,0.0,1,0.5
cust_000130,2024-04-25,CA,5,328.74,65.75,0,0.0,0,0.0
cust_000131,2024-07-09,UK,2,10611.22,5305.61,1,0.5,1,0.5
cust_000132,2024-04-28,IN,1,124.77,124.77,0,0.0,0,0.0
cust_000133,2024-06-14,IN,1,52.28,52.28,0,0.0,0,0.0
cust_000134,2024-03-31,NG,1,65.43,65.43,0,0.0,0,0.0
cust_000135,2024-02-02,US,1,120.3,120.3,0,0.0,0,0.0
cust_000136,2024-01-18,US,2,7350.81,3675.4,0,0.0,1,0.5
cust_000137,2024-04-29,AU,0,0.0,0.0,0,0.0,0,0.0
cust_000138,2024-03-26,IN,1,236.58,236.58,0,0.0,0,0.0
cust_000139,2024-04-17,US,1,202.66,202.66,1,1.0,0,0.0
cust_000140,2024-04-28,MX,1,541.13,541.13,0,0.0,0,0.0
