id,first_seen,transaction_count,customer_count,fraud_count
dev_000000,2024-10-09 00:00:00,3,3,0
dev_000001,2024-06-09 00:00:00,0,0,0
dev_000002,2024-11-09 00:00:00,4,4,0
dev_000003,2024-09-11 00:00:00,2,2,0
dev_000004,2024-02-04 00:00:00,3,3,1
dev_000005,2024-12-22 00:00:00,3,3,0
dev_000006,2024-10-04 00:00:00,2,2,0
dev_000007,2024-10-13 00:00:00,1,1,0
dev_000008,2024-02-16 00:00:00,0,0,0
dev_000009,2024-06-13 00:00:00,4,3,0
dev_000010,2024-05-15 00:00:00,2,2,1
dev_000011,2024-12-04 00:00:00,4,4,0
dev_000012,2024-08-23 00:00:00,3,3,0
dev_000013,2024-10-27 00:00:00,0,0,0
dev_000014,2024-06-10 00:00:00,5,3,0
dev_000015,2024-03-23 00:00:00,3,3,0
dev_000016,2024-07-21 00:00:00,1,1,0
dev_000017,2024-01-24 00:00:00,1,1,0
dev_000018,2024-10-29 00:00:00,3,3,0
dev_000019,2024-08-18 00:00:00,21,2,0
dev_000020,2024-10-03 00:00:00,3,3,0
dev_000021,2024-05-09 00:00:00,5,5,0
dev_000022,2024-12-20 00:00:00,1,1,0
dev_000023,2024-11-21 00:00:00,1,1,0
dev_000024,2024-10-11 00:00:00,2,2,1
dev_000025,2024-03-12 00:00:00,9,6,0
dev_000026,2024-06-19 00:00:00,8,6,0
dev_000027,2024-01-16 00:00:00,1,1,0
dev_000028,2024-02-26 00:00:00,3,3,0
dev_000029,2024-09-06 00:00:00,5,5,0
dev_000030,2024-09-28 00:00:00,1,1,0
dev_000031,2024-12-19 00:00:00,4,2,0
dev_000032,2024-04-28 00:00:00,1,1,0
dev_000033,2024-05-15 00:00:00,2,2,0
dev_000034,2024-06-20 00:00:00,2,2,0
dev_000035,2024-03-10 00:00:00,2,2,0
dev_000036,2024-02-17 00:00:00,1,1,0
dev_000037,2024-06-22 00:00:00,5,3,0
dev_000038,2024-03-23 00:00:00,0,0,0
dev_000039,2024-09-01 00:00:00,4,4,1
dev_000040,2024-06-08 00:00:00,1,1,0
dev_000041,2024-10-30 00:00:00,3,3,1
dev_000042,2024-09-12 00:00:00,0,0,0
dev_000043,2024-04-24 00:00:00,0,0,0
dev_000044,2024-10-30 00:00:00,1,1,1
dev_000045,2024-10-20 00:00:00,1,1,0
dev_000046,2024-05-21 00:00:00,8,2,0
dev_000047,2024-04-15 00:00:00,3,3,0
dev_000048,2024-09-06 00:00:00,3,3,0
dev_000049,2024-02-21 00:00:00,4,2,0
dev_000050,2024-03-13 00:00:00,4,4,0
dev_000051,2024-01-03 00:00:00,2,2,0
dev_000052,2024-10-14 00:00:00,3,3,1
dev_000053,2024-08-30 00:00:00,3,3,0
dev_000054,2024-09-14 00:00:00,1,1,1
dev_000055,2024-10-11 00:00:00,5,5,0
dev_000056,2024-06-16 00:00:00,1,1,0
dev_000057,2024-07-26 00:00:00,3,3,0
dev_000058,2024-02-21 00:00:00,9,2,0
dev_000059,2024-02-11 00:00:00,0,0,0
dev_000060,2024-08-31 00:00:00,0,0,0
dev_000061,2024-06-20 00:00:00,8,2,0
dev_000062,2024-07-25 00:00:00,1,1,0
dev_000063,2024-10-06 00:00:00,1,1,0
dev_000064,2024-08-19 00:00:00,3,3,0
dev_000065,2024-07-21 00:00:00,13,2,0
dev_000066,2024-07-23 00:00:00,2,2,0
dev_000067,2024-04-20 00:00:00,1,1,1
