id,transaction_id,customer_id,timestamp,reason,refund_amount,days_after_purchase
ret_000000,txn_0000004,cust_001634,2024-01-12 07:12:49,wrong_item,21.1,11
ret_000001,txn_0000024,cust_001339,2024-01-10 10:21:05,too_large,64.11,9
ret_000002,txn_0000029,cust_006297,2024-01-04 10:44:32,changed_mind,655.18,3
ret_000003,txn_0000032,cust_002488,2024-01-29 11:01:08,arrived_late,257.03,28
ret_000004,txn_0000050,cust_001634,2024-01-06 13:41:45,too_small,215.55,5
ret_000005,txn_0000059,cust_002131,2024-01-20 14:55:27,duplicate_order,39.25,19
ret_000006,txn_0000060,cust_002032,2024-01-05 15:14:18,too_small,92.24,4
ret_000007,txn_0000066,cust_003724,2024-01-19 16:02:38,too_small,62.05,18
ret_000008,txn_0000070,cust_005532,2024-01-08 16:48:18,defective_product,73.87,7
ret_000009,txn_0000073,cust_001634,2024-01-14 17:08:54,too_small,28.02,13
ret_000010,txn_0000174,cust_002032,2024-01-29 09:25:46,defective_product,35.18,27
ret_000011,txn_0000192,cust_002032,2024-01-17 12:12:23,not_as_described,22.17,15
ret_000012,txn_0000197,cust_000240,2024-01-11 12:47:54,defective_product,24.68,9
ret_000013,txn_0000202,cust_001634,2024-01-05 13:09:11,arrived_late,108.18,3
ret_000014,txn_0000206,cust_002032,2024-01-26 13:23:42,too_small,18.41,24
ret_000015,txn_0000218,cust_001634,2024-01-10 14:20:16,defective_product,153.47,8
ret_000016,txn_0000246,cust_006493,2024-01-05 17:29:27,no_longer_needed,94.53,3
ret_000017,txn_0000250,cust_005206,2024-01-16 17:50:10,not_as_described,38.68,14
ret_000018,txn_0000274,cust_004824,2024-01-16 20:10:39,better_price_found,61.15,14
ret_000019,txn_0000280,cust_001634,2024-01-27 20:33:15,too_small,104.33,25
ret_000020,txn_0000294,cust_001634,2024-01-27 22:10:04,arrived_late,38.79,25
ret_000021,txn_0000312,cust_008889,2024-01-11 08:41:28,arrived_late,37.0,8
ret_000022,txn_0000323,cust_001634,2024-01-12 09:12:56,duplicate_order,34.88,9
ret_000023,txn_0000343,cust_008361,2024-01-15 11:03:26,arrived_late,18982.82,12
ret_000024,txn_0000346,cust_001634,2024-01-31 11:16:39,too_small,42.06,28
ret_000025,txn_0000369,cust_001634,2024-01-13 13:18:20,too_large,101.1,10
ret_000026,txn_0000380,cust_001527,2024-01-26 14:58:02,defective_product,425.87,23
ret_000027,txn_0000388,cust_006411,2024-01-16 16:27:56,no_longer_needed,2549.31,13
ret_000028,txn_0000390,cust_003734,2024-01-12 16:32:41,no_longer_needed,41.72,9
ret_000029,txn_0000391,cust_001634,2024-01-19 16:35:20,duplicate_order,63.55,16
ret_000030,txn_0000420,cust_008168,2024-01-16 19:44:12,changed_mind,29.86,13
ret_000031,txn_0000460,cust_002032,2024-01-12 07:04:46,no_longer_needed,85.2,8
ret_000032,txn_0000461,cust_001634,2024-02-01 07:10:40,defective_product,15.84,28
ret_000033,txn_0000462,cust_003012,2024-01-05 07:21:53,not_as_described,23.4,1
ret_000034,txn_0000463,cust_007620,2024-01-20 07:37:34,better_price_found,1664.31,16
ret_000035,txn_0000464,cust_001634,2024-01-10 07:40:51,better_price_found,32.33,6
ret_000036,txn_0000468,cust_006496,2024-01-25 08:22:02,not_as_described,273.95,21
ret_000037,txn_0000469,cust_001634,2024-01-10 08:56:57,wrong_item,73.3,6
ret_000038,txn_0000482,cust_001634,2024-01-20 10:47:47,too_small,49.68,16
ret_000039,txn_0000484,cust_002032,2024-01-19 11:05:59,changed_mind,117.78,15
ret_000040,txn_0000485,cust_001634,2024-01-10 11:06:00,no_longer_needed,65.24,6
ret_000041,txn_0000492,cust_001634,2024-01-12 11:24:41,not_as_described,44.0,8
ret_000042,txn_0000509,cust_008168,2024-01-30 13:14:46,better_price_found,66.72,26
ret_000043,txn_0000510,cust_002118,2024-01-07 13:16:36,duplicate_order,34.14,3
ret_000044,txn_0000522,cust_001634,2024-01-11 14:58:44,no_longer_needed,13.55,7
ret_000045,txn_0000530,cust_004581,2024-01-07 15:48:44,too_small,69.03,3
